,distance,energy,kJ/mole
0,1.5,-155.92060231090204,23.881100999796576
1,1.55,-155.92177054195741,20.813910786479155
2,1.6,-155.92184328588328,20.62292163542096
3,1.65,-155.92005050820893,25.329858770961554
4,1.7,-155.91685296845205,33.7249982460601
5,1.75,-155.9125923379934,44.91128197410127
6,1.8,-155.90756345466167,58.11461334254339
7,1.85,-155.901956187744,72.83649060667707
8,1.9,-155.8960466647142,88.35194118385475
9,1.95,-155.88987849753255,104.5464618881375
10,2.0,-155.88358420638843,121.0721210102746
11,2.05,-155.87728183319996,137.61899953695544
12,2.1,-155.87100618369345,154.0957150462916
13,2.15,-155.8647805414584,170.4411364825125
14,2.2,-155.86948742500806,158.08321542543248
15,2.25,-155.8754803554807,142.34877863723767
16,2.3,-155.8817753648863,125.82123371985729
17,2.35,-155.88808813730702,109.24705201265984
18,2.4,-155.89409604477387,93.47329313158832
19,2.45,-155.89971000477365,78.73384318282413
20,2.5,-155.90486170059236,65.20806767424352
21,2.55,-155.90950714363615,53.011458643112014
22,2.6,-155.91364434072864,42.14924917326503
23,2.6500000000000004,-155.91726751243706,32.636613163346546
24,2.7,-155.9191955758622,27.574483338050047
25,2.75,-155.923026110338,17.51741645744632
26,2.8,-155.9252055704873,11.79524462378366
27,2.85,-155.9269541644146,7.204311900104657
28,2.9000000000000004,-155.92830146417228,3.666976873684377
29,2.95,-155.92892913645267,2.0190235285653007
30,3.0,-155.9296981419018,0.0
