,distance,energy,kJ/mole
0,3.1,-155.9303000159613,0.0
1,3.0500000000000003,-155.9302393312992,0.15932755843692956
2,3.0,-155.92991475174458,1.0115110616732748
3,2.95,-155.9292770501478,2.6857963733717374
4,2.9,-155.9283009501971,5.248546440840974
5,2.85,-155.92695406464807,8.784793962620205
6,2.8,-155.9252054182276,13.375864507081236
7,2.75,-155.92302358038893,19.104278963287047
8,2.7,-155.9203403681411,26.149051749410006
9,2.65,-155.91726653572218,34.21939765343415
10,2.6,-155.91363149932943,43.763184387755736
11,2.55,-155.90950842932304,54.588303198147706
12,2.5,-155.90484295229285,66.83751145333179
13,2.45,-155.89969979791303,80.34086141720222
14,2.4,-155.8941044151551,95.03153682418163
15,2.35,-155.88804662493038,110.93626286801874
16,2.3,-155.88180752103668,127.31702788416531
17,2.25,-155.8753143738232,144.36478354451634
18,2.2,-155.86949076664393,159.654662087158
19,2.15,-155.86471955663222,172.181472247088
20,2.1,-155.87100541064288,155.67796481579683
21,2.05,-155.87727929426129,139.20588564503015
22,2.0,-155.88359194796232,122.6320156363547
23,1.95,-155.88987860129612,106.12640958243193
24,1.9,-155.89604482698823,89.93698625820569
25,1.85,-155.90198348639936,74.3450381223879
26,1.8,-155.90756578162427,59.68872402858119
27,1.75,-155.9125962025717,46.48135565066881
28,1.7,-155.91525922321773,39.48959590778302
29,1.65,-155.92005407397232,26.900716985968767
30,1.6,-155.92184322861607,22.20329211597889
31,1.55,-155.92205516892957,21.646842899532235
32,1.5,-155.92060480090996,25.454783610421075
